id	h212102	h212311	h212312	h212315	h212316	h212318	h212319	h212321	h212326	h212332	h212329	h212402	gender	age	h212313a
9495	2740	20	10	0	2	2	20	8	20	10	5	100	2	24	0
9502	4680	30	30	25	38	0	10	12	20	11	5	130	2	30	0
9514	3720	10	25	0	38	1	10	7	5	4	5	52	1	29	0
9521	4120	65	6	35	30	3	5	12	10	8	6	40	1	30	39
9602	4970	60	20	35	15	3	20	8	10	11	5	110	1	35	0
9607	8600	30	20	35	18	3	50	10	20	30	5	121	1	31	0
9610	0	0	0	0	0	0	0	0	0	0	0	-1	2	23	0
9630	5100	40	30	70	35	18	100	20	5	8	20	0	1	28	0
9646	0	0	0	0	0	0	0	0	0	0	0	-1	1	45	0
9662	3640	50	3	10	0	2	10	14	5	10	5	210	1	29	0
9676	0	0	0	0	0	0	0	0	0	0	0	-1	1	37	0
9677	6480	30	20	25	20	2	3	10	10	16	3	30	1	29	0
9678	0	0	0	0	0	0	0	0	0	0	0	-1	1	25	0
9680	5210	30	20	20	25	2	3	10	2	2	3	20	1	33	0
100013	180	20	2	0	7	10	1	2	2	0	3	0	2	81	0
100077	240	10	0	0	10	15	5	5	3	0	5	0	1	59	0
100088	360	16	1	0	8	40	2	5	1	4	2	0	1	76	0
100095	180	30	2	0	13	15	1	3	2	0	2	0	2	81	0
100100	2424	20	10	10	15	5	5	10	5	0	0	50	1	66	0
